season,round,constructorRef,constructorId,raceId,points_after_race,wins_after_race,position_after_race,positionText,constructorStandingsId,points,wins,position
1959,5,vanwall,118,760,0.0,0,11,11,18880,0.0,0.0,0.0
1959,5,fry,123,760,0.0,0,12,12,18881,0.0,0.0,0.0
1959,6,cooper-climax,170,761,29.0,2,1,1,18882,26.0,2.0,1.0
1959,6,ferrari,6,761,24.0,2,2,2,18883,16.0,1.0,2.0
1959,6,brm,66,761,16.0,1,3,3,18885,14.0,1.0,3.0
1959,6,team_lotus,32,761,3.0,0,4,4,18886,3.0,0.0,4.0
1959,6,cooper-maserati,167,761,0.0,0,5,5,18884,0.0,0.0,6.0
1959,6,aston_martin,117,761,0.0,0,6,6,18889,0.0,0.0,5.0
1959,6,maserati,105,761,0.0,0,7,7,18888,0.0,0.0,7.0
1959,6,cooper-borgward,169,761,0.0,0,8,8,18890,0.0,0.0,8.0
1959,6,porsche,95,761,0.0,0,9,9,18887,0.0,0.0,9.0
1959,6,jbw,101,761,0.0,0,10,10,18891,0.0,0.0,10.0
1959,6,vanwall,118,761,0.0,0,11,11,18892,0.0,0.0,11.0
1959,6,fry,123,761,0.0,0,12,12,18893,0.0,0.0,12.0
1959,7,cooper-climax,170,762,34.0,3,1,1,18894,29.0,2.0,1.0
1959,7,ferrari,6,762,28.0,2,2,2,18895,24.0,2.0,2.0
1959,7,brm,66,762,18.0,1,3,3,18897,16.0,1.0,3.0
1959,7,team_lotus,32,762,3.0,0,4,4,18898,3.0,0.0,4.0
1959,7,aston_martin,117,762,0.0,0,5,5,18901,0.0,0.0,6.0
1959,7,cooper-maserati,167,762,0.0,0,6,6,18896,0.0,0.0,5.0
1959,7,maserati,105,762,0.0,0,7,7,18900,0.0,0.0,7.0
1959,7,cooper-borgward,169,762,0.0,0,8,8,18902,0.0,0.0,8.0
1959,7,porsche,95,762,0.0,0,9,9,18899,0.0,0.0,9.0
1959,7,jbw,101,762,0.0,0,10,10,18903,0.0,0.0,10.0
1959,7,vanwall,118,762,0.0,0,11,11,18904,0.0,0.0,11.0
1959,7,fry,123,762,0.0,0,12,12,18905,0.0,0.0,12.0
1959,8,cooper-climax,170,763,38.0,4,1,1,18906,34.0,3.0,1.0
1959,8,ferrari,6,763,32.0,2,2,2,18907,28.0,2.0,2.0
1959,8,brm,66,763,18.0,1,3,3,18909,18.0,1.0,3.0
1959,8,team_lotus,32,763,3.0,0,4,4,18910,3.0,0.0,4.0
1959,8,aston_martin,117,763,0.0,0,5,5,18913,0.0,0.0,5.0
1959,8,cooper-maserati,167,763,0.0,0,6,6,18908,0.0,0.0,6.0
1959,8,maserati,105,763,0.0,0,7,7,18912,0.0,0.0,7.0
1959,8,cooper-borgward,169,763,0.0,0,8,8,18914,0.0,0.0,8.0
1959,8,porsche,95,763,0.0,0,9,9,18911,0.0,0.0,9.0
1959,8,jbw,101,763,0.0,0,10,10,18915,0.0,0.0,10.0
1959,8,vanwall,118,763,0.0,0,11,11,18916,0.0,0.0,11.0
1959,8,fry,123,763,0.0,0,12,12,18917,0.0,0.0,12.0
1959,9,cooper-climax,170,764,40.0,5,1,1,18918,38.0,4.0,1.0
1959,9,ferrari,6,764,32.0,2,2,2,18919,32.0,2.0,2.0
1959,9,brm,66,764,18.0,1,3,3,18921,18.0,1.0,3.0
1959,9,team_lotus,32,764,5.0,0,4,4,18922,3.0,0.0,4.0
1959,9,aston_martin,117,764,0.0,0,5,5,18925,0.0,0.0,5.0
1959,9,cooper-maserati,167,764,0.0,0,6,6,18920,0.0,0.0,6.0
1959,9,kurtis_kraft,113,764,0.0,0,7,7,18930,0.0,0.0,0.0
1959,9,porsche,95,764,0.0,0,8,8,18923,0.0,0.0,9.0
1959,9,maserati,105,764,0.0,0,9,9,18924,0.0,0.0,7.0
1959,9,cooper-borgward,169,764,0.0,0,10,10,18926,0.0,0.0,8.0
1959,9,cooper-osca,168,764,0.0,0,11,11,18931,0.0,0.0,0.0
1959,9,tec-mec,124,764,0.0,0,12,12,18932,0.0,0.0,0.0
1959,9,connaught,125,764,0.0,0,13,13,18933,0.0,0.0,0.0
1959,9,jbw,101,764,0.0,0,14,14,18927,0.0,0.0,10.0
1959,9,vanwall,118,764,0.0,0,15,15,18928,0.0,0.0,11.0
1959,9,fry,123,764,0.0,0,16,16,18929,0.0,0.0,12.0
1960,1,cooper-climax,170,746,8.0,1,1,1,19026,0.0,0.0,0.0
1960,1,ferrari,6,746,6.0,0,2,2,19027,0.0,0.0,0.0
1960,1,cooper-maserati,167,746,3.0,0,3,3,19028,0.0,0.0,0.0
1960,1,team_lotus,32,746,1.0,0,4,4,19029,0.0,0.0,0.0
1960,1,brm,66,746,0.0,0,5,5,19030,0.0,0.0,0.0
1960,1,behra-porsche,104,746,0.0,0,6,6,19031,0.0,0.0,0.0
1960,1,maserati,105,746,0.0,0,7,7,19032,0.0,0.0,0.0
1960,2,cooper-climax,170,747,14.0,1,1,1,19037,8.0,1.0,1.0
1960,2,ferrari,6,747,10.0,0,2,2,19036,6.0,0.0,2.0
1960,2,team_lotus,32,747,9.0,1,3,3,19038,1.0,0.0,4.0
1960,2,cooper-maserati,167,747,3.0,0,4,4,19034,3.0,0.0,3.0
1960,2,brm,66,747,2.0,0,5,5,19035,0.0,0.0,5.0
1960,2,behra-porsche,104,747,0.0,0,6,6,19039,0.0,0.0,6.0
1960,2,maserati,105,747,0.0,0,7,7,19042,0.0,0.0,7.0
1960,2,jbw,101,747,0.0,0,8,8,19033,0.0,0.0,0.0
1960,2,scarab,106,747,0.0,0,9,9,19041,0.0,0.0,0.0
1960,2,cooper-castellotti,171,747,0.0,0,10,10,19040,0.0,0.0,0.0
1960,3,cooper-climax,170,748,14.0,1,1,1,19047,14.0,1.0,1.0
1960,3,ferrari,6,748,10.0,0,2,2,19046,10.0,0.0,2.0
1960,3,team_lotus,32,748,9.0,1,3,3,19048,9.0,1.0,3.0
1960,3,cooper-maserati,167,748,3.0,0,4,4,19044,3.0,0.0,4.0
1960,3,brm,66,748,2.0,0,5,5,19045,2.0,0.0,5.0
1960,3,behra-porsche,104,748,0.0,0,6,6,19049,0.0,0.0,6.0
1960,3,maserati,105,748,0.0,0,7,7,19052,0.0,0.0,7.0
1960,3,jbw,101,748,0.0,0,8,8,19043,0.0,0.0,8.0
1960,3,scarab,106,748,0.0,0,9,9,19051,0.0,0.0,9.0
1960,3,cooper-castellotti,171,748,0.0,0,10,10,19050,0.0,0.0,10.0
1960,4,cooper-climax,170,749,22.0,2,1,1,19058,14.0,1.0,1.0
1960,4,team_lotus,32,749,15.0,1,2,2,19057,9.0,1.0,3.0
1960,4,ferrari,6,749,12.0,0,3,3,19055,10.0,0.0,2.0
1960,4,brm,66,749,6.0,0,4,4,19056,2.0,0.0,5.0
1960,4,cooper-maserati,167,749,3.0,0,5,5,19054,3.0,0.0,4.0
1960,4,behra-porsche,104,749,0.0,0,6,6,19060,0.0,0.0,6.0
1960,4,maserati,105,749,0.0,0,7,7,19063,0.0,0.0,7.0
1960,4,aston_martin,117,749,0.0,0,8,8,19053,0.0,0.0,0.0
1960,4,jbw,101,749,0.0,0,9,9,19059,0.0,0.0,8.0
1960,4,scarab,106,749,0.0,0,10,10,19061,0.0,0.0,9.0
1960,4,cooper-castellotti,171,749,0.0,0,11,11,19062,0.0,0.0,10.0
1960,5,cooper-climax,170,750,30.0,3,1,1,19069,22.0,2.0,1.0
1960,5,team_lotus,32,750,17.0,1,2,2,19068,15.0,1.0,2.0
1960,5,ferrari,6,750,15.0,0,3,3,19066,12.0,0.0,3.0
1960,5,brm,66,750,6.0,0,4,4,19067,6.0,0.0,4.0
1960,5,cooper-maserati,167,750,3.0,0,5,5,19065,3.0,0.0,5.0
1960,5,behra-porsche,104,750,0.0,0,6,6,19071,0.0,0.0,6.0
1960,5,maserati,105,750,0.0,0,7,7,19074,0.0,0.0,7.0
1960,5,scarab,106,750,0.0,0,8,8,19072,0.0,0.0,10.0
1960,5,aston_martin,117,750,0.0,0,9,9,19064,0.0,0.0,8.0
1960,5,jbw,101,750,0.0,0,10,10,19070,0.0,0.0,9.0
1960,5,cooper-castellotti,171,750,0.0,0,11,11,19073,0.0,0.0,11.0
1960,6,cooper-climax,170,751,38.0,4,1,1,19075,30.0,3.0,1.0
1960,6,team_lotus,32,751,19.0,1,2,2,19078,17.0,1.0,2.0
1960,6,ferrari,6,751,15.0,0,3,3,19076,15.0,0.0,3.0
1960,6,brm,66,751,6.0,0,4,4,19079,6.0,0.0,4.0
1960,6,cooper-maserati,167,751,3.0,0,5,5,19077,3.0,0.0,5.0
1960,6,behra-porsche,104,751,0.0,0,6,6,19080,0.0,0.0,6.0
1960,6,maserati,105,751,0.0,0,7,7,19081,0.0,0.0,7.0
1960,6,scarab,106,751,0.0,0,8,8,19083,0.0,0.0,8.0
1960,6,cooper-castellotti,171,751,0.0,0,9,9,19084,0.0,0.0,11.0
1960,6,aston_martin,117,751,0.0,0,10,10,19085,0.0,0.0,9.0
1960,6,vanwall,118,751,0.0,0,11,11,19086,0.0,0.0,0.0
1960,6,jbw,101,751,0.0,0,12,12,19082,0.0,0.0,10.0
1960,7,cooper-climax,170,752,46.0,5,1,1,19092,38.0,4.0,1.0
1960,7,team_lotus,32,752,25.0,1,2,2,19091,19.0,1.0,2.0
1960,7,ferrari,6,752,16.0,0,3,3,19089,15.0,0.0,3.0
1960,7,brm,66,752,6.0,0,4,4,19090,6.0,0.0,4.0
1960,7,cooper-maserati,167,752,3.0,0,5,5,19088,3.0,0.0,5.0
1960,7,aston_martin,117,752,0.0,0,6,6,19087,0.0,0.0,10.0
1960,7,behra-porsche,104,752,0.0,0,7,7,19094,0.0,0.0,6.0
1960,7,maserati,105,752,0.0,0,8,8,19098,0.0,0.0,7.0
1960,7,jbw,101,752,0.0,0,9,9,19093,0.0,0.0,12.0
1960,7,cooper-castellotti,171,752,0.0,0,10,10,19095,0.0,0.0,9.0
1960,7,scarab,106,752,0.0,0,11,11,19096,0.0,0.0,8.0
1960,7,vanwall,118,752,0.0,0,12,12,19097,0.0,0.0,11.0
1960,8,cooper-climax,170,753,48.0,6,1,1,19104,46.0,5.0,1.0
